collected_at,site_ref_time,univ,type_name,unit_name,recruit,applied,ratio_text,ratio_value,url
2026-09-08T13:10:05+09:00,2026-09-08 오후 1:00 현황,아주대학교,ACE전형,경제정치사회융합학부,36,63,1.75 : 1,1.75,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio11040711.html
2026-09-08T13:10:05+09:00,2026년 09월 08일 13시 10분 기준,용인대학교,자율전공 특별전형,무전공학부,100,30,0.30 : 1,0.3,https://ratio.uwayapply.com/Sl5KVyVyV2FiSmYlJjomSjdmVGY=
2026-09-08T13:48:28+09:00,2026년 09월 08일 13시 45분 기준,용인대학교,자율전공 특별전형,무전공학부,100,31,0.31 : 1,0.31,https://ratio.uwayapply.com/Sl5KVyVyV2FiSmYlJjomSjdmVGY=
2026-09-08T13:48:28+09:00,2026년 09월 08일 10시 00분 기준,한국외국어대학교,학생부종합전형(서류형),국제금융학과,5,0,0.00 : 1,0.0,https://ratio.uwayapply.com/Sl5KJmg6fEpmJSY6Jko3ZlRm
2026-09-08T13:48:28+09:00,2026년 09월 08일 13시 40분 기준,경기대학교,학생부종합(KGU학생부종합전형),경제학부,42,28,0.67 : 1,0.67,https://ratio.uwayapply.com/Sl5KJXJyV2FiOUpmJSY6Jko3ZlRm
2026-09-08T13:48:28+09:00,2026-09-08 오후 1:45 현황,단국대학교,[학생부종합] 사회적배려대상자,경제학과,3,3,1.00 : 1,1.0,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10420521.html
2026-09-08T13:48:28+09:00,2026-09-08 오후 1:40 현황,가천대학교,가천바람개비,회계세무학과,10,7,0.70 : 1,0.7,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10190711.html
2026-09-08T13:48:28+09:00,2026년 09월 08일 13시 40분 기준,한성대학교,한성인재전형,미래융합사회과학대학,40,53,1.33 : 1,1.33,https://ratio.uwayapply.com/Sl5Kclc6Jlc4fEpmJSY6Jko3ZlRm
2026-09-08T13:48:28+09:00,2026-09-08 오후 1:40 현황,명지대학교,학생부종합(명지인재면접전형),경제학전공,6,6,1.00 : 1,1.0,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10650761.html
2026-09-08T13:54:06+09:00,2026년 09월 08일 10시 00분 기준,한국외국어대학교,학생부종합전형(면접형),국제금융학과,5,0,0.00 : 1,0.0,https://ratio.uwayapply.com/Sl5KJmg6fEpmJSY6Jko3ZlRm
2026-09-08T15:00:43+09:00,2026년 09월 08일 15시 00분 기준,용인대학교,자율전공 특별전형,무전공학부,100,36,0.36 : 1,0.36,https://ratio.uwayapply.com/Sl5KVyVyV2FiSmYlJjomSjdmVGY=
2026-09-08T15:00:43+09:00,2026년 09월 08일 15시 00분 기준,경기대학교,학생부종합(KGU학생부종합전형),경제학부,42,30,0.71 : 1,0.71,https://ratio.uwayapply.com/Sl5KJXJyV2FiOUpmJSY6Jko3ZlRm
2026-09-08T15:00:43+09:00,2026-09-08 오후 2:55 현황,단국대학교,[학생부종합] 사회적배려대상자,경제학과,3,4,1.33 : 1,1.33,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10420521.html
2026-09-08T15:00:43+09:00,2026-09-08 오후 2:50 현황,가천대학교,가천바람개비,회계세무학과,10,8,0.80 : 1,0.8,https://addon.jinhakapply.com/RatioV1/RatioH/Ratio10190711.html
2026-09-08T15:00:43+09:00,2026년 09월 08일 15시 00분 기준,한성대학교,한성인재전형,미래융합사회과학대학,40,54,1.35 : 1,1.35,https://ratio.uwayapply.com/Sl5Kclc6Jlc4fEpmJSY6Jko3ZlRm
2026-09-08T16:00:22+09:00,2026년 09월 08일 16시 00분 기준,용인대학교,자율전공 특별전형,무전공학부,100,37,0.37 : 1,0.37,https://ratio.uwayapply.com/Sl5KVyVyV2FiSmYlJjomSjdmVGY=
2026-09-08T16:00:22+09:00,2026년 09월 08일 16시 00분 기준,경기대학교,학생부종합(KGU학생부종합전형),경제학부,42,31,0.74 : 1,0.74,https://ratio.uwayapply.com/Sl5KJXJyV2FiOUpmJSY6Jko3ZlRm
